subject_ids,classifications,workflow_id,workflow_version,file-name,advance,flag
13289498,5,427,6.20,,advance,1
13289499,5,427,6.20,,advance,1
13289500,5,427,6.20,,advance,1
13289501,5,427,6.20,,advance,1
13289502,5,427,6.20,,advance,1
13289503,5,427,6.20,,advance,1
13289504,5,427,6.20,,advance,1
13289505,5,427,6.20,,advance,1
13289506,5,427,6.20,,advance,1
13289507,5,427,6.20,,advance,1
13289508,5,427,6.20,,advance,1
13289509,5,427,6.20,,advance,1
13289510,5,427,6.20,,advance,1
13289511,5,427,6.20,,advance,1
13289512,5,427,6.20,,advance,1
13289513,5,427,6.20,,advance,1
13289514,5,427,6.20,,advance,1
13289515,5,427,6.20,,advance,1
13289516,5,427,6.20,,advance,1
13289517,5,427,6.20,,advance,1
13289518,5,427,6.20,,advance,1
13289519,5,427,6.20,,advance,1
13289520,5,427,6.20,,advance,1
13289521,5,427,6.20,,advance,1
13289522,5,427,6.20,,advance,1
13289523,5,427,6.20,,advance,1
13289524,5,427,6.20,,retire,0
13289525,5,427,6.20,,advance,1
13289526,5,427,6.20,,advance,1
13289527,5,427,6.20,,advance,1
13289528,5,427,6.20,,advance,1
13289529,5,427,6.20,,advance,1
13289530,5,427,6.20,,advance,1
13289531,5,427,6.20,,advance,1
13289532,5,427,6.20,,advance,1
13289533,5,427,6.20,,advance,1
13289534,5,427,6.20,,advance,1
13289535,5,427,6.20,,advance,1
13289536,5,427,6.20,,advance,1
13289537,5,427,6.20,,advance,1
13289538,5,427,6.20,,advance,1
13289539,5,427,6.20,,advance,1
13289540,5,427,6.20,,advance,1
13289541,5,427,6.20,,advance,1
13289542,5,427,6.20,,advance,1
13289543,5,427,6.20,,advance,1
13289544,5,427,6.20,,advance,1
13289545,5,427,6.20,,advance,1
13289546,5,427,6.20,,advance,1
13289547,5,427,6.20,,advance,1
13289548,5,427,6.20,,advance,1
13289549,5,427,6.20,,advance,1
13289550,5,427,6.20,,advance,1
13289551,5,427,6.20,,advance,1
13289552,5,427,6.20,,advance,1
13289553,6,427,6.20,,advance,1
13289554,5,427,6.20,,advance,1
13289555,5,427,6.20,,advance,1
13289556,5,427,6.20,,advance,1
13289557,5,427,6.20,,advance,1
13289558,5,427,6.20,,advance,1
13289559,5,427,6.20,,advance,1
13289560,5,427,6.20,,advance,1
13289561,5,427,6.20,,advance,1
13289562,5,427,6.20,,advance,1
13289563,5,427,6.20,,advance,1
13289564,5,427,6.20,,advance,1
13289565,5,427,6.20,,advance,1
13289566,5,427,6.20,,advance,1
13289567,5,427,6.20,,advance,1
13289568,5,427,6.20,,advance,1
13289569,5,427,6.20,,advance,1
13289570,5,427,6.20,,retire,0
13289571,5,427,6.20,,advance,1
13289572,5,427,6.20,,advance,1
13289573,5,427,6.20,,retire,0
13289574,5,427,6.20,,advance,1
13289575,5,427,6.20,,advance,1
13289576,5,427,6.20,,advance,1
13289577,5,427,6.20,,advance,1
13289578,5,427,6.20,,advance,1
13289579,5,427,6.20,,advance,1
13289580,5,427,6.20,,advance,1
13289581,5,427,6.20,,advance,1
13289582,5,427,6.20,,advance,1
13289583,5,427,6.20,,advance,1
13289584,5,427,6.20,,advance,1
13289585,5,427,6.20,,advance,1
13289586,5,427,6.20,,advance,1
13289587,5,427,6.20,,advance,1
13289588,5,427,6.20,,advance,1
13289589,5,427,6.20,,advance,1
13289590,5,427,6.20,,advance,1
13289591,5,427,6.20,,advance,1
13289592,5,427,6.20,,advance,1
13289593,5,427,6.20,,advance,1
13289594,5,427,6.20,,advance,1
13289595,5,427,6.20,,advance,1
13289596,5,427,6.20,,advance,1
13289597,5,427,6.20,,advance,1
13289598,5,427,6.20,,advance,1
13289599,5,427,6.20,,advance,1
13289600,5,427,6.20,,advance,1
13289601,5,427,6.20,,advance,1
13289602,5,427,6.20,,retire,0
13289603,5,427,6.20,,advance,1
13289604,5,427,6.20,,advance,1
13289605,5,427,6.20,,advance,1
13289606,5,427,6.20,,advance,1
13289607,5,427,6.20,,advance,1
13289608,5,427,6.20,,advance,1
13289609,5,427,6.20,,advance,1
